"source_authority","flag","gear","gear_group","species","schooltype","time_start","time_end","geographic_identifier","catchtype","unit","value"
"IOTC","TWN","LL","Longline","YFT","UNK","2005-12-01","2006-01-01","6100075","UNK","MTNO",13.56
"IOTC","EUREU","ELL","Longline","YFT","UNK","2015-09-01","2015-10-01","5219055","UNK","MT",0.44
"IOTC","SYC","LL","Longline","YFT","UNK","2006-06-01","2006-07-01","6120055","UNK","NOMT",130.15
"IOTC","SYC","LL","Longline","YFT","UNK","2009-07-01","2009-08-01","6205065","UNK","NOMT",13.08
"IOTC","SYC","LL","Longline","YFT","UNK","2007-08-01","2007-09-01","6230080","UNK","MTNO",2.98
"IOTC","TWN","FLL","Longline","YFT","UNK","2011-11-01","2011-12-01","6220105","UNK","NOMT",6
"IOTC","TWN","LL","Longline","YFT","UNK","2008-12-01","2009-01-01","6200085","UNK","MTNO",4.29
"IOTC","TWN","FLL","Longline","YFT","UNK","2015-05-01","2015-06-01","6205080","UNK","MTNO",0.29
"IOTC","TWN","LL","Longline","YFT","UNK","2008-12-01","2009-01-01","6200090","UNK","MTNO",0.37
"IOTC","TWN","LL","Longline","YFT","UNK","2015-04-01","2015-05-01","6230055","UNK","MTNO",0.02
"IOTC","JPN","LL","Longline","YFT","UNK","1954-08-01","1954-09-01","6100075","UNK","NO",165
"IOTC","TWN","LL","Longline","YFT","UNK","2007-03-01","2007-04-01","6110080","UNK","MTNO",21.02
"IOTC","JPN","LL","Longline","YFT","UNK","1956-09-01","1956-10-01","6100045","UNK","NO",1110
"IOTC","TWN","LL","Longline","YFT","UNK","2006-04-01","2006-05-01","6100045","UNK","MTNO",1.55
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6215060","UNK","NO",20
"IOTC","JPN","LL","Longline","YFT","UNK","2015-04-01","2015-05-01","6235110","UNK","NO",11
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6215070","UNK","NO",22
"IOTC","TWN","LL","Longline","YFT","UNK","2015-04-01","2015-05-01","6235020","UNK","MTNO",0.78
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6215095","UNK","NO",86
"IOTC","TWN","LL","Longline","YFT","UNK","2011-01-01","2011-02-01","6235020","UNK","MTNO",1.61
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6215115","UNK","NO",376
"IOTC","TWN","LL","Longline","YFT","UNK","2015-04-01","2015-05-01","6230070","UNK","MTNO",0.01
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6220035","UNK","NO",5663
"IOTC","SYC","ELL","Longline","YFT","UNK","2015-11-01","2015-12-01","5204057","UNK","MTNO",2.51
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6220040","UNK","NO",2534
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5101055","UNK","MT",0.07
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6220060","UNK","NO",25
"IOTC","TWN","LL","Longline","YFT","UNK","2006-07-01","2006-08-01","6225045","UNK","NOMT",4
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6220095","UNK","NO",13
"IOTC","SYC","ELL","Longline","YFT","UNK","2013-03-01","2013-04-01","5203055","UNK","NOMT",4
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6220100","UNK","NO",41
"IOTC","TWN","LL","Longline","YFT","UNK","2011-11-01","2011-12-01","6200060","UNK","NOMT",107
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6225095","UNK","NO",220
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5102046","UNK","MT",0.56
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6225100","UNK","NO",857
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5101053","UNK","MT",0.94
"IOTC","JPN","LL","Longline","YFT","UNK","1963-01-01","1963-02-01","6225105","UNK","NO",356
"IOTC","SYC","ELL","Longline","YFT","UNK","2013-03-01","2013-04-01","5203054","UNK","NOMT",14
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6100050","UNK","NO",9
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6210065","UNK","NOMT",39
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6100055","UNK","NO",39
"IOTC","SYC","ELL","Longline","YFT","UNK","2013-03-01","2013-04-01","5205053","UNK","NOMT",2
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6100060","UNK","NO",7
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6100060","UNK","NOMT",215
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6100065","UNK","NO",3454
"IOTC","SYC","ELL","Longline","YFT","UNK","2013-03-01","2013-04-01","5204054","UNK","NOMT",2
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6100070","UNK","NO",1820
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6100055","UNK","NOMT",588
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6100090","UNK","NO",39
"IOTC","SYC","ELL","Longline","YFT","UNK","2013-03-01","2013-04-01","5205056","UNK","NOMT",1
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105055","UNK","NO",32
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6100050","UNK","NOMT",149
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105060","UNK","NO",587
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6205065","UNK","NOMT",34
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105065","UNK","NO",3257
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6105060","UNK","NOMT",200
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105070","UNK","NO",2174
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6205060","UNK","NOMT",80
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105075","UNK","NO",171
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6200055","UNK","NOMT",37
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105090","UNK","NO",22
"IOTC","SYC","LL","Longline","YFT","UNK","2013-03-01","2013-04-01","6205055","UNK","NOMT",7
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6105095","UNK","NO",20
"IOTC","SYC","LL","Longline","YFT","UNK","2009-07-01","2009-08-01","6210080","UNK","NOMT",14
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6110065","UNK","NO",14
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5101049","UNK","MT",2.64
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200040","UNK","NO",63
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5100055","UNK","MT",4.79
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200050","UNK","NO",238
"IOTC","TWN","LL","Longline","YFT","UNK","2015-04-01","2015-05-01","6225065","UNK","MTNO",0.15
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200055","UNK","NO",80
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5100056","UNK","MT",3.8
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200060","UNK","NO",61
"IOTC","EUPRT","ELL","Longline","YFT","UNK","2015-06-01","2015-07-01","6220100","UNK","MT",5.99
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200065","UNK","NO",146
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-03-01","2013-04-01","6210115","UNK","NOMT",1
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200070","UNK","NO",308
"IOTC","EUPRT","ELL","Longline","YFT","UNK","2015-06-01","2015-07-01","6220090","UNK","MT",5.17
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200075","UNK","NO",233
"IOTC","JPN","LL","Longline","YFT","UNK","2013-09-01","2013-10-01","6235020","UNK","NO",3
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200080","UNK","NO",47
"IOTC","THA","LL","Longline","YFT","UNK","2014-04-01","2014-05-01","5100054","UNK","MT",2.33
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200085","UNK","NO",335
"IOTC","TWN","LL","Longline","YFT","UNK","2006-07-01","2006-08-01","6225050","UNK","NOMT",19
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200095","UNK","NO",19
"IOTC","EUPRT","ELL","Longline","YFT","UNK","2015-06-01","2015-07-01","6220095","UNK","MT",0.56
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6200100","UNK","NO",76
"IOTC","SYC","ELL","Longline","YFT","UNK","2011-01-01","2011-02-01","5205055","UNK","MTNO",0.3
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205040","UNK","NO",6
"IOTC","SYC","LL","Longline","YFT","UNK","2011-01-01","2011-02-01","6200075","UNK","MTNO",0.94
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205045","UNK","NO",53
"IOTC","TWN","FLL","Longline","YFT","UNK","2015-05-01","2015-06-01","6230055","UNK","MTNO",0.16
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205050","UNK","NO",25
"IOTC","SYC","LL","Longline","YFT","UNK","2011-01-01","2011-02-01","6200085","UNK","MTNO",18.41
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205055","UNK","NO",153
"IOTC","EUREU","ELL","Longline","YFT","UNK","2014-05-01","2014-06-01","5221049","UNK","MT",1.32
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205060","UNK","NO",1200
"IOTC","EUREU","ELL","Longline","YFT","UNK","2009-10-01","2009-11-01","5219055","UNK","MT",1.29
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205065","UNK","NO",444
"IOTC","SYC","LL","Longline","YFT","UNK","2012-09-01","2012-10-01","6100060","UNK","MTNO",2.35
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205070","UNK","NO",311
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-04-01","2013-05-01","6100075","UNK","NOMT",57
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205075","UNK","NO",62
"IOTC","TWN","LL","Longline","YFT","UNK","2013-07-01","2013-08-01","6230055","UNK","NOMT",9
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205080","UNK","NO",22
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-04-01","2013-05-01","6205090","UNK","NOMT",235
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205085","UNK","NO",169
"IOTC","TWN","LL","Longline","YFT","UNK","2006-04-01","2006-05-01","6100085","UNK","MTNO",7.92
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205090","UNK","NO",18
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-04-01","2013-05-01","6205095","UNK","NOMT",62
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205095","UNK","NO",67
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-04-01","2013-05-01","6200085","UNK","NOMT",149
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205100","UNK","NO",317
"IOTC","TWN","LL","Longline","YFT","UNK","2015-04-01","2015-05-01","6230065","UNK","MTNO",0.07
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205105","UNK","NO",185
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-04-01","2013-05-01","6205065","UNK","NOMT",533
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6205110","UNK","NO",1174
"IOTC","TWN","FLL","Longline","YFT","UNK","2013-04-01","2013-05-01","6200080","UNK","NOMT",321
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210040","UNK","NO",2552
"IOTC","SYC","LL","Longline","YFT","UNK","2009-07-01","2009-08-01","6100075","UNK","NOMT",57.42
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210045","UNK","NO",3377
"IOTC","TWN","LL","Longline","YFT","UNK","2006-04-01","2006-05-01","6100065","UNK","MTNO",1.64
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210050","UNK","NO",1381
"IOTC","TWN","LL","Longline","YFT","UNK","2006-04-01","2006-05-01","6100060","UNK","MTNO",90.88
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210055","UNK","NO",2781
"IOTC","EUREU","ELL","Longline","YFT","UNK","2014-05-01","2014-06-01","5220049","UNK","MT",2.58
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210060","UNK","NO",1015
"IOTC","THA","LL","Longline","YFT","UNK","2015-05-01","2015-06-01","5232078","UNK","MT",0.1
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210100","UNK","NO",4
"IOTC","THA","LL","Longline","YFT","UNK","2015-05-01","2015-06-01","5234072","UNK","MT",0.47
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210110","UNK","NO",90
"IOTC","EUREU","ELL","Longline","YFT","UNK","2014-05-01","2014-06-01","5219057","UNK","MT",0.03
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210115","UNK","NO",60
"IOTC","TWN","FLL","Longline","YFT","UNK","2015-05-01","2015-06-01","6205075","UNK","MTNO",4.47
"IOTC","JPN","LL","Longline","YFT","UNK","1967-10-01","1967-11-01","6210120","UNK","NO",145
"IOTC","EUREU","ELL","Longline","YFT","UNK","2014-05-01","2014-06-01","5219050","UNK","MT",3.75
